,utcdate,utctime,alt,speed_mph,n_sats
143193,2021-11-19,,209,9302.545241,9
143464,2021-11-19,,209,9403.207343,9
143736,2021-11-19,,209,6014.249909,9
144014,2021-11-19,,209,4538.493784,9
144287,2021-11-19,,209,981.76618,9
144556,2021-11-19,,209,37543.857191,10
144836,2021-11-19,,209,31940.333513,10
145106,2021-11-19,,209,26404.539274,9
145375,2021-11-19,,209,19828.569981,9
145645,2021-11-19,,209,15936.302037,9
145913,2021-11-19,,209,9595.210982,9
146196,2021-11-19,,210,6240.428953,9
146471,2021-11-19,,210,4629.8353210000005,10
146753,2021-11-19,,210,4529.173219,9
147022,2021-11-19,,210,4764.0514570000005,9
147296,2021-11-19,,210,4663.389355,9
147571,2021-11-19,,210,7347.712075,9
147847,2021-11-19,,210,9091.900472,9
148127,2021-11-19,,211,11574.898988,9
148406,2021-11-19,,211,13521.03296,9
148673,2021-11-19,,211,17177.801295,9
148951,2021-11-19,,211,19325.259471,9
149218,2021-11-19,,211,22949.095143,10
149491,2021-11-19,,211,25095.931948,10
149762,2021-11-19,,210,26907.849784,10
150041,2021-11-19,,211,28551.99745,10
150311,2021-11-19,,210,32275.873853,10
150583,2021-11-19,,210,32913.400499,9
150861,2021-11-19,,210,34591.102199,9
151138,2021-11-19,,209,34993.750607,10
151412,2021-11-19,,209,37376.087021,9
151688,2021-11-19,,209,948.212146,10
151963,2021-11-19,,209,1921.2791320000001,10
152232,2021-11-19,,209,2391.035608,10
152504,2021-11-19,,208,2156.15737,10
152774,2021-11-19,,208,7893.275813,10
153052,2021-11-19,,208,9436.761377,10
153323,2021-11-19,,208,10476.936431,10
153609,2021-11-19,,209,11315.787281,10
153878,2021-11-19,,209,8530.802459,10
154153,2021-11-19,,209,8732.126663000001,10
154426,2021-11-19,,209,8698.572629,10
154711,2021-11-19,,209,9101.221037,10
154979,2021-11-19,,208,10208.504159,10
155262,2021-11-19,,208,9369.653309,10
155536,2021-11-19,,208,15979.176636,10
155811,2021-11-19,,208,16650.257316,10
156082,2021-11-19,,208,17723.986404,10
156363,2021-11-19,,209,15878.514534,10
156631,2021-11-19,,209,21213.60594,10
156909,2021-11-19,,209,19737.228444,10
157181,2021-11-19,,209,21951.173317,10
157458,2021-11-19,,209,23259.780643000002,10
157731,2021-11-19,,209,25575.008989,10
158010,2021-11-19,,210,27722.467165000002,10
158278,2021-11-19,,210,27554.696995000002,10
158554,2021-11-19,,210,28024.453471,10
158832,2021-11-19,,210,29265.331358,10
159106,2021-11-19,,210,32150.978282,10
159395,2021-11-19,,210,35305.057478,10
159671,2021-11-19,,211,35707.705886,10
159946,2021-11-19,,211,36747.88094,10
160223,2021-11-19,,212,36580.11077,10
160497,2021-11-19,,212,36412.3406,10
160773,2021-11-19,,212,37753.880589,10
161053,2021-11-19,,213,38257.191099,10
161330,2021-11-19,,213,38190.083031,10
161610,2021-11-19,,214,39934.892799,10
161883,2021-11-19,,214,118.681861,10
162161,2021-11-19,,214,39800.676663,10
162437,2021-11-19,,215,39096.041949,10
